,start_time,end_time,P_total
173,2022-11-23 01:56:00,2022-11-23 02:58:00,2.199
106,2022-09-07 05:18:00,2022-09-07 05:36:00,2.188
540,2025-02-12 08:04:00,2025-02-12 08:21:00,2.149
587,2025-06-17 07:15:00,2025-06-17 07:57:00,2.135
435,2024-08-24 09:12:00,2024-08-24 09:44:00,2.101
375,2024-05-31 08:50:00,2024-05-31 09:48:00,2.073
624,2025-08-20 13:54:00,2025-08-20 14:26:00,2.054
606,2025-07-19 03:39:00,2025-07-19 04:17:00,2.041
131,2022-09-28 08:54:00,2022-09-28 09:58:00,1.987
665,2025-09-26 10:29:00,2025-09-26 12:07:00,1.986
51,2022-06-28 00:01:00,2022-06-28 01:15:00,1.951
423,2024-08-02 15:06:00,2024-08-02 15:33:00,1.946
108,2022-09-10 16:44:00,2022-09-10 17:11:00,1.907
